subj,mag,resp
1,0,-2.46918568502085
1,3,-7.9363091429541
1,-3,6.23077729565435
1,6,-17.027365318928
1,-6,15.6189532017079
1,9,-24.337143263563
1,-9,21.7586465527716
1,12,-32.293403665627
1,-12,27.6631083942171
2,0,1.02076863391424
2,3,-5.95778823705627
2,-3,7.33367774852719
2,6,-14.0377874492301
2,-6,17.4189532017079
2,9,-24.1119050089844
2,-9,23.4561127227664
2,12,-31.0507192628821
2,-12,30.2756195348521
3,0,-1.39619538162923
3,3,-10.1475224203545
3,-3,7.88862119855212
3,6,-16.3400927376649
3,-6,14.7107100391911
3,9,-25.5102416593567
3,-9,22.7154290666453
3,12,-30.8283429917822
3,-12,29.6713930427526
4,0,-0.696195381629231
4,3,-7.64752242035452
4,-3,7.88862119855212
4,6,-13.4400927376649
4,-6,15.4107100391911
4,9,-20.5102416593568
4,-9,22.5154290666453
4,12,-27.8283429917822
4,-12,27.8713930427526
5,0,-0.696195381629231
5,3,-7.14752242035452
5,-3,8.88862119855212
5,6,-13.2400927376649
5,-6,17.4107100391911
5,9,-21.9102416593567
5,-9,23.3154290666453
5,12,-29.9283429917822
5,-12,27.9713930427526
6,0,-0.49619538162923
6,3,-6.44752242035452
6,-3,9.48862119855213
6,6,-13.2400927376649
6,-6,16.2107100391911
6,9,-21.0102416593568
6,-9,25.2154290666453
6,12,-29.4283429917822
6,-12,29.7713930427526
7,0,-0.396195381629232
7,3,-9.04752242035452
7,-3,5.58862119855212
7,6,-15.9400927376649
7,-6,14.1107100391911
7,9,-22.1102416593568
7,-9,22.1154290666453
7,12,-27.9283429917822
7,-12,30.1713930427526
8,0,-1.29619538162924
8,3,-4.94752242035452
8,-3,5.68862119855212
8,6,-17.2400927376649
8,-6,15.1107100391911
8,9,-22.9102416593567
8,-9,23.6154290666453
8,12,-27.1283429917822
8,-12,29.7713930427526
9,0,-1.69619538162923
9,3,-5.94752242035452
9,-3,9.48862119855213
9,6,-20.4400927376649
9,-6,12.6107100391911
9,9,-22.2102416593568
9,-9,17.9154290666453
9,12,-28.5283429917822
9,-12,25.5713930427526
10,0,1.80380461837077
10,3,-3.24752242035452
10,-3,11.8886211985521
10,6,-12.1400927376649
10,-6,20.3107100391911
10,9,-18.1102416593568
10,-9,20.4154290666453
10,12,-24.2283429917822
10,-12,25.6713930427526
11,0,-1.29619538162923
11,3,-6.54752242035452
11,-3,9.88862119855213
11,6,-15.9400927376649
11,-6,19.1107100391911
11,9,-23.1102416593567
11,-9,26.9154290666453
11,12,-31.1283429917822
11,-12,29.4713930427526
12,0,1.50380461837077
12,3,-3.74752242035452
12,-3,10.1886211985521
12,6,-11.8400927376649
12,-6,18.3107100391911
12,9,-22.9102416593567
12,-9,26.3154290666453
12,12,-28.8283429917822
12,-12,31.5713930427526
13,0,-0.396195381629232
13,3,-6.54752242035452
13,-3,5.18862119855212
13,6,-16.9400927376649
13,-6,15.3107100391911
13,9,-22.3102416593567
13,-9,20.6154290666453
13,12,-30.4283429917822
13,-12,26.3713930427526
14,0,-2.69619538162923
14,3,-2.34752242035452
14,-3,11.8886211985521
14,6,-9.34009273766493
14,-6,16.9107100391911
14,9,-18.5102416593568
14,-9,22.9154290666453
14,12,-26.7283429917822
14,-12,27.6713930427526
15,0,9.70380461837076
15,3,3.65247757964549
15,-3,13.8886211985521
15,6,-11.4400927376649
15,-6,21.2107100391911
15,9,-15.3102416593568
15,-9,28.3154290666453
15,12,-21.0283429917822
15,-12,23.6713930427526
16,0,1.90380461837077
16,3,-2.64752242035452
16,-3,10.4886211985521
16,6,-10.1400927376649
16,-6,19.7107100391911
16,9,-20.3102416593568
16,-9,25.2154290666453
16,12,-27.3283429917822
16,-12,34.0713930427526
17,0,3.50380461837077
17,3,-2.14752242035452
17,-3,14.7886211985521
17,6,-13.3400927376649
17,-6,20.1107100391911
17,9,-18.4102416593568
17,-9,26.0154290666453
17,12,-26.4283429917822
17,-12,34.2713930427526
18,0,1.70380461837077
18,3,-5.14752242035452
18,-3,10.4886211985521
18,6,-12.9400927376649
18,-6,17.6107100391911
18,9,-21.9102416593568
18,-9,25.7154290666453
18,12,-28.0283429917822
18,-12,30.3713930427526
19,0,-0.296195381629231
19,3,-7.04752242035452
19,-3,6.98862119855212
19,6,-13.2400927376649
19,-6,16.0107100391911
19,9,-24.1102416593567
19,-9,24.8154290666453
19,12,-28.8283429917822
19,-12,26.3713930427526
20,0,-1.99619538162923
20,3,-7.04752242035452
20,-3,9.78862119855213
20,6,-14.1400927376649
20,-6,18.8107100391911
20,9,-22.6102416593567
20,-9,27.9154290666453
20,12,-30.6283429917822
20,-12,31.7713930427526
