subj,mag,resp,model
1,-4,1.01254859258535,1.01677900717604
1,-3,1.00364035009086,1.01193965135372
1,-2,1.00228821960238,1.007609578546
1,-1,0.993543853076292,1.0036694682593
1,0,0.996569136437761,1
1,1,0.997929246412934,0.996481853274505
1,2,0.986667752946426,0.992995707589211
1,3,0.992828909224346,0.989422242450514
1,4,0.988364221987256,0.985642137364811
2,-4,1.01796088153606,1.01168091932063
2,-3,1.01083147495936,1.00798406189886
2,-2,1.00742819614998,1.00495016088824
2,-1,1.00035097204032,1.00236140926365
2,0,1.00279315689085,1
2,1,1.00223911343539,0.997648126072181
2,2,0.996736263907193,0.995087980455089
2,3,0.999358263223709,0.992101756123619
2,4,0.996302653822899,0.988471646052667
3,-4,1.0120454562127,1.01305266018144
3,-3,1.01035872372981,1.00972323644378
3,-2,1.01122702907878,1.00650854236678
3,-1,1.00871611381716,1.00330274215175
3,0,1.00236119055919,1
3,1,1.00459551292659,0.996494480112854
3,2,0.995118513454464,0.992680346691623
3,3,1.00142017237077,0.98845176393762
3,4,0.993432421757165,0.983702896052159
4,-4,1.00623063549796,1.02214405718369
4,-3,1.01717631233922,1.01674931736912
4,-2,1.01101349523962,1.0112399997104
4,-1,1.01598410506824,1.0056466964924
4,0,1.00131409423627,1
4,1,0.989451285743954,0.994330502518079
4,2,0.993587879998937,0.988668796331515
4,3,1.00059897255528,0.983045473725185
4,4,0.984811863405273,0.97749112698397
5,-4,1.01393908077603,1.0112464460103
5,-3,1.02324180273582,1.00822875044598
5,-2,1.0146435705053,1.0053941807678
5,-1,1.00525771353281,1.0026741322083
5,0,0.995173070088081,1
5,1,0.995544773651906,0.997303179375431
5,2,0.983664492431443,0.994515065567125
5,3,0.961386997011618,0.99156705380761
5,4,0.970980032433457,0.988390539329416
6,-4,1.02304190854434,1.00963879493356
6,-3,1.00813572270775,1.00717812427953
6,-2,1.0176330442535,1.00475430618049
6,-1,1.0077263633125,1.00236303372459
6,0,1.00443706879779,1
6,1,1.00887868280145,0.997660898094869
6,2,1.00170452037407,0.995341421097357
6,3,1.00230234431238,0.993037262095621
6,4,0.997103437504576,0.990744114177819
7,-4,1.05357639168547,1.00552286302677
7,-3,1.02715609497609,1.00452973437373
7,-2,1.03578342058188,1.00330225890625
7,-1,1.00997178527495,1.00180436974234
7,0,0.969615343476764,1
7,1,1.01840198405099,0.997853082797223
7,2,1.00459136158252,0.995327551252013
7,3,1.00329661952005,0.992387338482369
7,4,0.965529887656048,0.988996377606292
8,-4,1.00349270746973,1.00734511198701
8,-3,1.00125056233609,1.00558367883958
8,-2,1.00482101390406,1.00380289666448
8,-1,1.00165041134752,1.0019569441539
8,0,1.00160871948921,1
8,1,1.00064241320073,0.997886242894966
8,2,0.997470763877937,0.995569851530975
8,3,0.99160180047013,0.993005004600204
8,4,0.993378854908763,0.990145880794832
9,-4,0.999850768487605,1.00452704101378
9,-3,1.00002024845831,1.00353764511819
9,-2,0.995639058820291,1.00250396341109
9,-1,0.995355539567261,1.00135006025189
9,0,0.992813039386336,1
9,1,0.99292201312122,0.998377847014836
9,2,0.994107726311695,0.99640766565581
9,3,0.990951169242561,0.994013520282334
9,4,0.996249367786581,0.991119475253821
10,-4,1.00705377235189,0.987438020857428
10,-3,1.00860454292235,0.989387872731605
10,-2,1.02297139023244,0.99239128346342
10,-1,0.993558708739842,0.996058557677882
10,0,1.00364019106344,1
10,1,1.00698740386162,1.00382591505478
10,2,0.989441741859772,1.00714660746724
10,3,0.985526707239625,1.00957238186239
10,4,0.997780595019517,1.01071354286522
11,-4,1.00619250968835,1.04093881123689
11,-3,1.0273895862274,1.03062085817394
11,-2,1.03556988674272,1.02030534186042
11,-1,1.03504521778562,1.01007185742592
11,0,1.00009303241997,1
11,1,1.00512673663688,0.990169364712241
11,2,1.00296328933892,0.980659546692215
11,3,1.01121819385874,0.971550141069494
11,4,0.979681870102702,0.962920742973653
12,-4,1.00434351156186,1.00927107893652
12,-3,1.00562311949097,1.0063026145612
12,-2,1.02339845791075,1.00390667117769
12,-1,0.997421104740401,1.00187516193946
12,0,0.994724156204476,1
12,1,0.995789361208793,0.998073098512771
12,2,0.993603752296439,0.99588637063125
12,3,0.986039311000212,0.99323172950891
12,4,0.973078349785889,0.989901088299225
13,-4,1.0294954963016,1.00824334460954
13,-3,1.01891639034733,1.00572876054946
13,-2,1.02809620237221,1.00358596746856
13,-1,1.02101244791402,1.00171102680577
13,0,1.01952680356389,1
13,1,1.01618187058731,0.998348948490189
13,2,1.00296679365142,0.996653933715256
13,3,1.00743629809479,0.994811017114128
13,4,1.00666698205994,0.992716260125728
14,-4,1.01916487358416,1.01236699450172
14,-3,1.01056336185503,1.00868766162161
14,-2,1.01571123970109,1.00541645337162
14,-1,1.00439645155213,1.00252876706125
14,0,1.00551568703564,1
14,1,1.01006684099769,0.997805549497356
14,2,0.996570787980757,0.995920812862819
14,3,1.00053592333234,0.994321187405886
14,4,0.980608352921942,0.992982070436053
15,-4,1.0061028072489,1.02529246817413
15,-3,1.00333539643077,1.01876781474753
15,-2,1.01699244273603,1.0123543377357
15,-1,1.00596961315401,1.00608680889956
15,0,1.00703577735647,1
15,1,0.993395142895519,0.994128682797936
15,2,0.992193360519406,0.988507629054274
15,3,0.979131352370542,0.983171610529923
15,4,0.977774614821725,0.978155398985788
16,-4,0.99663758935059,1.0147044504044
16,-3,1.00681523667352,1.01079746764743
16,-2,1.01037289372215,1.00702082201254
16,-1,0.997964334688819,1.00340987797248
16,0,0.998236432716778,1
16,1,0.999355558404885,0.996826552567867
16,2,0.992808789533381,0.993924900148832
16,3,0.996865141813016,0.991330407215651
16,4,0.99314155739046,0.989078438241079
17,-4,1.00507760445855,1.00390088745346
17,-3,1.00189628447411,1.00162874660425
17,-2,1.01848717961013,1.00029618391724
17,-1,0.999137297034991,0.999790751134982
17,0,1.00631575853464,1
17,1,0.999188599201333,1.00081148225484
17,2,1.00209494598264,1.00211274964203
17,3,0.99132348676785,1.00379135390411
17,4,0.98818051101713,1.00573484678362
18,-4,1.02085392730549,1.01911654282423
18,-3,1.03319822029785,1.0138567601865
18,-2,1.02702853317643,1.00896429350654
18,-1,1.00717393463928,1.00436881577937
18,0,1.00729100989635,1
18,1,1.00659200536659,0.995787519163442
18,2,0.993462901293921,0.991661046264712
18,3,0.993969539680564,0.987550254298823
18,4,0.978073056448962,0.983384816260791
19,-4,1.01424845833483,1.01814465785086
19,-3,1.01945551348163,1.0125913183354
19,-2,1.00930522452636,1.00785688055494
19,-1,1.00730286443138,1.00373016695973
19,0,1.00995009632189,1
19,1,0.996105305721194,0.996455202126001
19,2,0.987676965723456,0.992884595787968
19,3,0.984225702694022,0.98907700343614
19,4,0.979015673324696,0.984821247520757
20,-4,1.01974939882375,1.00936248796748
20,-3,1.02170148458285,1.00662273546522
20,-2,1.0261743978198,1.00417816155502
20,-1,1.012250476955,1.00198512885918
20,0,0.990777997036594,1
20,1,1.01143410963631,0.998179137599794
20,2,0.994767905955542,0.996478904280864
