subj,mag,resp,model
1,-4,1.0271251786373,1.05107269003782
1,-3,1.01311535044519,1.03850221133712
1,-2,1.01645883602023,1.02576301199261
1,-1,1.00243620766606,1.01291047916126
1,0,0.996569136437761,1
1,1,0.989755054719969,0.987086961665788
1,2,0.970264250994197,0.974226751315571
1,3,0.974058849037206,0.961474756106297
1,4,0.958175350773962,0.948886363194916
2,-4,1.02728752858504,1.05156965103824
2,-3,1.01123572067195,1.03855867141299
2,-2,1.01339543560222,1.02560829356749
2,-1,1.01272564746647,1.01274618169781
2,0,1.00279315689085,1
2,1,0.997974424733289,0.987397412670114
2,2,0.998366314244345,0.974966083904207
2,3,0.990374099653386,0.962733677898336
2,4,0.990745917252862,0.950727858848556
3,-4,1.01719184402213,1.0535658043977
3,-3,1.02208831545551,1.04030675169366
3,-2,1.01998240959373,1.02691377830667
3,-1,1.01352556702502,1.01345536686577
3,0,1.00236119055919,1
3,1,1.00173068059278,0.986616160338421
3,2,1.00405267319264,0.973372330510078
3,3,0.992682436267347,0.960336993144018
3,4,0.986846533130106,0.94757863086929
4,-4,1.02424070994389,1.04939796007105
4,-3,1.03290905272798,1.03698605004073
4,-2,1.00423626954659,1.02458149477685
4,-1,1.00539955000054,1.01223568214231
4,0,1.00131409423627,1
4,1,0.991203847966842,0.987925836212817
4,2,0.987345042488177,0.976064578643655
4,3,0.98644280634479,0.964467615155409
4,4,0.970689240609584,0.953186333610971
5,-4,1.06610836276537,1.05214013258202
5,-3,1.04245198659503,1.03914431469457
5,-2,1.03042338019858,1.02607611836912
5,-1,1.0054848447719,1.01300489600461
5,0,0.995173070088081,1
5,1,0.991163468046024,0.987130782754214
5,2,0.963916438159856,0.974466596666198
5,3,0.950222486082802,0.962076794134893
5,4,0.928317534671107,0.95003072755924
6,-4,1.05575782865844,1.05199655653126
6,-3,1.03659533318273,1.03881767675559
6,-2,1.02340090022467,1.02572968593933
6,-1,1.01205371588956,1.01277599128622
6,0,1.00443706879779,1
6,1,1.00175235550885,0.987445119284393
6,2,0.986095589472927,0.975154756343135
6,3,0.976528322055358,0.963172318379958
6,4,0.970705247834914,0.951541212598596
7,-4,1.05677496315351,1.04950449390147
7,-3,1.06368799107905,1.03698364138969
7,-2,1.05781649210117,1.02453990521411
7,-1,1.01594060596511,1.01220233990683
7,0,0.969615343476764,1
7,1,1.01168628092965,0.987961940025728
7,2,0.999659860058415,0.976117214516141
7,3,0.982875245961098,0.964494878003363
7,4,1.01795546111867,0.953123985019518
8,-4,1.02265878263781,1.05133410166745
8,-3,1.0163086336305,1.03839737853515
8,-2,1.01462087778734,1.02549555864126
8,-1,1.01362654087313,1.01267948484361
8,0,1.00160871948921,1
8,1,0.994867538338983,0.987507946968259
8,2,0.994650928788738,0.975254168606199
8,3,0.985238925389504,0.963289507771635
8,4,0.990859204462386,0.951664807322384
9,-4,1.01497509745779,1.04903387238704
9,-3,1.03035716229086,1.03716538138171
9,-2,1.01366805535611,1.02497556537246
9,-1,1.00920380719273,1.01255643477375
9,0,0.992813039386336,1
9,1,0.991923523290254,0.987398271465664
9,2,0.982270160353492,0.974843259585177
9,3,0.966271310691219,0.962426974772979
9,4,0.975344350504231,0.950241427443509
10,-4,1.03317175907196,1.05217233667231
10,-3,1.0272574450399,1.03926044957134
10,-2,1.01628047389363,1.02617123766351
10,-1,1.01227493989183,1.013039491092
10,0,1.00364019106344,1
10,1,0.993984859700541,0.987187554530711
10,2,0.983789305637266,0.974736944827324
10,3,0.984893635450825,0.962782961033031
10,4,0.984860867873871,0.951460393291025
11,-4,1.01180243326202,1.05924661648935
11,-3,1.03891240715361,1.04458325500279
11,-2,1.03419688652247,1.02973963775919
11,-1,1.03220443202892,1.01483785575833
11,0,1.00009303241997,1
11,1,1.00193189995697,0.985348161483969
11,2,1.00599369409057,0.97100443121002
11,3,1.01157677296787,0.957090900177935
11,4,1.00888519564545,0.943729659387493
12,-4,1.0217127474783,1.05376638242624
12,-3,1.02898336377072,1.04001575398435
12,-2,1.01309274618093,1.02644534736498
12,-1,1.01031961790282,1.01309386266968
12,0,0.994724156204476,1
12,1,0.989719692996395,0.987202459457473
12,2,0.984940155196643,0.974739941143644
12,3,0.976517263943911,0.962651145160057
12,4,0.957821852173094,0.950974771608255
13,-4,1.05650652972011,1.04819449936864
13,-3,1.04658682390632,1.0363037862396
13,-2,1.03443078615366,1.02427633529194
13,-1,1.03020904207614,1.01215934154047
13,0,1.01952680356389,1
13,1,1.01740568610476,0.987845505685331
13,2,0.992931190686519,0.97574305361127
13,3,1.00336550156715,0.963739838792623
13,4,0.996586701501265,0.951883056244198
14,-4,1.04625464866972,1.04686530041977
14,-3,1.0324494166245,1.03484334525041
14,-2,1.02065168158343,1.02301071532862
14,-1,1.01595379628871,1.01138905284746
14,0,1.00551568703564,1
14,1,0.997969395465883,0.988865198979315
14,2,0.982616202046912,0.978006291978472
14,3,0.988788376151291,0.967444921190542
14,4,0.972729268976222,0.957202728808593
15,-4,1.00629167975575,1.05656665967008
15,-3,1.01697246690157,1.04248924434845
15,-2,1.00016964052414,1.02823925260818
15,-1,1.00590832705983,1.01401129948134
15,0,1.00703577735647,1
15,1,0.998899212540009,0.986399969196234
15,2,0.981966881188538,0.973405822102112
15,3,0.988486808963218,0.961212173749708
15,4,0.978774569886449,0.950013639171092
16,-4,1.03149345141225,1.0513922995193
16,-3,1.02946404443927,1.03788926459578
16,-2,1.01693186023662,1.02482745765192
16,-1,1.01426287787732,1.01219999676191
16,0,0.998236432716778,1
16,1,0.989902514602146,0.988220585440393
16,2,0.972556335156687,0.976854871157313
16,3,0.970864913053944,0.96589597522498
16,4,0.953240481698806,0.955337015717615
17,-4,1.04334529545864,1.05690248264019
17,-3,1.02285209297023,1.04220906787179
17,-2,1.02843632178888,1.02778273337665
17,-1,1.00640507736817,1.01369065285323
17,0,1.00631575853464,1
17,1,0.998843714060176,0.986777948515406
17,2,0.97463855293105,0.974091672097912
17,3,0.964160561831907,0.962008344445977
17,4,0.951839610931012,0.95059513925806
18,-4,1.05861828528914,1.05443681145231
18,-3,1.01691004594953,1.04066248778719
18,-2,1.03287219887711,1.02695170613732
18,-1,1.01655712957026,1.01337427428187
18,0,1.00729100989635,1
18,1,0.994522392928351,0.986898691070858
18,2,0.9843599547055,0.974140155273605
18,3,0.975661293864178,0.961794200387401
18,4,0.977955421760899,0.949930634191402
19,-4,1.0240378538118,1.05247966354836
19,-3,1.01498094008815,1.03951718352168
19,-2,1.02180880212299,1.02639095778522
19,-1,1.00181558784317,1.01318916904324
19,0,1.00995009632189,1
19,1,0.996006755456361,0.986911633359754
19,2,0.98612053348372,0.974012251826757
19,3,0.986342462220887,0.961390038105263
19,4,0.977835367509465,0.94913317489953
20,-4,1.04305431538954,1.05819761420055
20,-3,1.04249851401208,1.04351628895173
20,-2,1.03137151183864,1.02886854161611
20,-1,1.0140082294547,1.01433592702257
20,0,0.990777997036594,1
20,1,1.00190424493833,0.985942315377267
20,2,0.987314522843674,0.972244427983251
20,3,0.986875826674183,0.95898789264683
20,4,0.972009539043689,0.946254264196881
